,"Amortization  Life (in Years) HashiCorp, Inc.  (HashiCorp)",Other  Acquisitions
Current assets (1),,"$ 1,451 $ 227"
"Property, plant and equipment/noncurrent assets",,457 109
Intangible assets,,
Goodwill,,"N/A 4,684 1,254"
Client relationships,5—13 980 410,
Completed technology,5—7 770 237,
Trademarks,1—7,85  9
Total assets acquired,,"$ 8,427 $ 2,246"
Current liabilities,,478 246
Noncurrent liabilities,,516  87
Total liabilities assumed,,$ 993 $ 333
Total purchase price,,"$ 7,433 $ 1,912"
