At December 31:,2025,2024
Retirement benefits,"$ 1,691","$ 1,898"
Leases,"1,224","1,157"
Share-based and other compensation,888,796
Tax losses/credits,"3,923","3,615"
Deferred income,797,790
"Bad debt, inventory and warranty reserves",207,198
Depreciation,243,238
Accruals,418,395
Intangible assets,"3,341","2,482"
Capitalized R&D,"4,426","4,185"
Hedging,270,—
Other,994,784
Gross deferred tax assets,"18,422","16,537"
Less: valuation allowance,"1,143","1,223"
Net deferred tax assets,"$ 17,279","$ 15,314"
