At December 31:,2025,2024,Benefit Obligations Fair Value of Plan Assets.2025,Benefit Obligations Fair Value of Plan Assets.2024,Funded Status (1).2025,Funded Status (1).2024
U.S. Plans,,,,,,
Overfunded plans,,,,,,
Qualified PPP,"$ 13,207","$ 12,941","$ 18,073","$ 17,591","$ 4,866","$ 4,651"
Underfunded plans,,,,,,
Nonqualified defined benefit pension plans (2),"1,253","1,278",—,—,"(1,253)","(1,278)"
Nonpension postretirement benefit plan,"2,224","2,257",5,6,"(2,219)","(2,251)"
Total underfunded U.S. plans,"$ 3,477","$ 3,535",$ 5,$ 6,"$ (3,472)","$ (3,529)"
Non-U.S. Plans,,,,,,
Overfunded plans,,,,,,
Qualified defined benefit pension plans (3),"$ 14,632","$ 13,568","$ 17,310","$ 16,410","$ 2,679","$ 2,842"
Total overfunded non-U.S. plans,"$ 14,632","$ 13,568","$ 17,310","$ 16,410","$ 2,679","$ 2,842"
Underfunded plans,,,,,,
Qualified defined benefit pension plans (3),"$ 10,697","$ 10,482","$ 9,423","$ 8,795","$ (1,274)","$ (1,688)"
Nonqualified defined benefit pension plans (3),"4,544","4,440",—,—,"(4,544)","(4,440)"
Nonpension postretirement benefit plans,547,507,9,14,(538),(493)
Total underfunded non-U.S. plans,"$ 15,788","$ 15,429","$ 9,432","$ 8,809","$ (6,356)","$ (6,620)"
Total overfunded plans,"$ 27,839","$ 26,509","$ 35,383","$ 34,001","$ 7,544","$ 7,492"
Total underfunded plans,"$ 19,264","$ 18,964","$ 9,437","$ 8,815","$ (9,828)","$ (10,149)"
