Non-sovereign,,
,30 Jun 25 31 Dec 24,
,Performing assets assets Performing assets assets,
In thousands of euros Stage 1 Stage 2 Stage 3 Total Stage 1 Stage 2 Stage 3 Total,,
Rating,,
"from AAA to BBB- (Investment)
from BB+ to CCC (Speculative)
Not applicable (1)
Doubtful","6,820,985 1,031,594 - 7,852,579
7,511,867 4,642,628 - 12,154,495
145 40 - 184
- - 878,831 878,831","8,298,773 534,234 - 8,833,007
7,065,450 4,189,944 - 11,255,394
584,961 - - 584,961
- - 894,001 894,001"
Total,"14,332,996 5,674,262 878,831 20,886,090","15,949,184 4,724,178 894,001 21,567,362"
"(1) Unused assets relate to budgets granted pending allocation to a final beneficiary.
Sovereign",,
,30 Jun 25 31 Dec 24,
,Performing assets assets Performing assets assets,
In thousands of euros Stage 1 Stage 2 Stage 3 Total Stage 1 Stage 2 Stage 3 Total,,
Rating,,
"from AAA to BBB- (RC1 to RC2)
from BB+ to CCC (RC3, RC4, RC5)
Not applicable (1)
Doubtful (RC6)","9,305,728 107,022 19,450 9,432,200
15,285,773 4,134,847 407,397 19,828,017
- - - -
- - 1,590,353 1,590,353","9,178,229 113,255 21,394 9,312,878
16,507,921 3,304,314 457,352 20,269,587
- - - -
- - 1,587,426 1,587,426"
Total,"24,591,501 4,241,869 2,017,200 30,850,569","25,686,150 3,417,569 2,066,172 31,169,891"
(1) Unused assets relate to budgets granted pending allocation to a final beneficiary.,,
