In thousands of euros,Stage 1 Stage 2 Stage 3 Total,,
Total provisions at 31/12/2024,"202,229 567,010 1,332,578 2,101,816",,
"of which Provisions at 31/12/2024 Activity + Parameters +
Exceptional Provisions
New signatures
Extinct exposures","100,827 289,606 495,872 886,305
9,282 6,408 - 15,690
(2,551) (2,563) (3,006) (8,120)",,
"Change in exposure or rating
Stage change
Other (including IFRS restatements, Sogefom)
IFRS restatement","(10,951) (22,561) 44,809 11,297
(7,019) 15,861 984 9,826
299 9 (22,557) (22,249)
- - 8,447 8,447",,
"Total change in operating provisions (10,940) (2,846)",,,"(13,785)"
Total change in IFRS 9 parameter updates,"2,900 729",-,"3,630"
"Total change in provisions (FWL, Ariz)","5,201 3,296",-,"8,497"
"Provisions at 30/06/2025 Activity + Parameters + Exceptional
Provisions","97,988 290,786 524,549 913,323",,
Calibration of the reserve account,"92,968 427,041 861,202 1,381,211",,
Total provisions at 30/06/2025,"190,956 717,827 1,385,751 2,294,534",,
