Inthousandsofeuros,30Jun25,30Jun24
Fromfinancialassetsmeasuredatamortisedcost,"882108
,","973332
,"
Cashanddemandaccountswithcentralbanks,"48407
,","69948
,"
Loansandreceivables,"831181
,","900444
,"
Transactionswithcreditinstitutions,"220572
,","251941
,"
Transactionswithcustomers,"610609
,","648503
,"
Debtsecurities,"2520
,","2939
,"
Fromfinancialassetsatfairvaluethroughequity,"96870
,","95951
,"
Debtsecurities,"96870
,","95951
,"
Fromfinancialassetsatfairvaluethroughprofitorloss,"26991
,","37497
,"
Loansandreceivables,"26991
,","37497
,"
Transactionswithcreditinstitutions,"15445
,","22268
,"
Transactionswithcustomers,"11546
,","15229
,"
Interestaccruedanddueonhedginginstruments,"1251103
, ,","1412191
, ,"
ofwhichtransactionswithcreditinstitutions,"601119
,","797120
,"
ofwhichotherinterestandrelatedincome,"649984
,","615070
,"
Totalinterestincome,"2257073
, ,","2518970
, ,"
Fromfinancialliabilitiesmeasuredatamortisedcost,"(609864)
,","(548815)
,"
Financialliabilitiesmeasuredatamortisedcost,"(609864)
,","(548815)
,"
Interestaccruedanddueonhedginginstruments,"(1418879)
, ,","(1702538)
, ,"
Otherinterestandsimilarexpenses,(128),"(5636)
,"
Totalinterestexpenses,"(2028870)
, ,","(2256990)
, ,"
