,30Jun25,,31,Dec24,,30Jun24,
,Balance,,Balance,,,Balance,
Impact(inthousandsofeuros),sheet,Income,sheet,,Income,sheet,Income
SIC,"30680
,","(3449)
,","34643
,",,"(6112)
,","38071
,","(2685)
,"
Socredo,"127335
,","2607
,","125677
,",,"4742
,","124065
,","3129
,"
Total,"158014
,",(842),"160320
,",,"(1370)
,","162135
,",445
Note21 –Corporatetax,,,,,,,
Inthousandsofeuros,,,,30,Jun25,30Jun24,
Corporatetax,,,,"(7874)
,",,(653),
Taxesdue,,,,"(9343)
,",,"(2045)
,",
Deferredtaxes,,,,,"1470
,","1392
,",
