,,30Jun25,,,,31Dec24,,
,,,Doubtful,,,,Doubtful,
,Performing,assets,assets,,Performing,assets,assets,
Inthousandsofeuros,Stage1,Stage2,Stage3,Total,Stage1,Stage2,Stage3,Total
Rating,,,,,,,,
from AAA to BBB- (Investment),"1624348
, ,","6000
,",-,"1630348
, ,","1490465
, ,","2200
,",-,"1492665
, ,"
fromBB+toCCC(Speculative),"2799608
, ,","207718
,",-,"3007326
, ,","3000747
, ,","256824
,",-,"3257571
, ,"
Notapplicable(1),"112408
,",-,-,"112408
,","112408
,",-,-,"112408
,"
Doubtful,-,-,"117870
,","117870
,",-,-,"136723
,","136723
,"
Total,"4536363
, ,","213718
,","117870
,","4867951
, ,","4603620
, ,","259024
,","136723
,","4999367
, ,"
