**Unrealised or**
**Income for**,**deferred**,,**Equity – Non-**,**Total**
**Funding**,**Consolidated**,**the financial**,**gains or**,**Equity –**,**controlling**,**consolidated**
_In thousands of euros_,**Provisions**,**reserves**,**reserves**,**year**,**losses**,**Group share**,**interests**,**equity**
**Equity at 1 January 2024**,"**4,567,999**","**460,000**","**3,476,966**","**371,271**","**114,044**","**8,990,281**","**164,905**","**9,155,186**"
Share of 2023 income allocated to retained<br>earnings,<br>-,-,"371,271","(371,271)",-,-,-,-
Dividends paid,-,-,"(65,075)",-,-,"(65,075)",-,"(65,075)"
Other changes,-,-,770,-,-,770,"(2,464)","(1,694)"
Changes related to put options,-,-,"2,460",-,-,"2,460","21,493","23,953"
AFD capital increase,"150,000",-,-,-,-,"150,000",-,"150,000"
Change in scope,-,-,425,-,-,425,"(7,795)","(7,370)"
2024 net income,-,-,-,"343,612",-,"343,612","19,133","362,745"
Gains and losses recognised directly in<br>other comprehensive income in 2024,-,-,-,-,(127),(127),"4,374","4,247"
**Equity at 31 December 2024**,"**4,717,999**","**460,000**","**3,786,818**","**343,612**","**113,917**","**9,422,346**","**199,646**","**9,621,992**"
Share of 2024 income allocated to retained<br>earnings,<br>-,-,"343,612","(343,612)",-,-,,-
Dividends paid,-,-,"(54,013)",-,-,"(54,013)",,"(54,013)"
Other changes,-,-,"(2,530)",-,-,"(2,530)","(1,667)","(4,197)"
Changes related to put options,-,-,"(5,772)",-,-,"(5,772)","5,804",32
AFD capital increase,-,-,-,-,-,-,,-
Income for the first half of 2025,-,-,-,"154,174",-,"154,174","(5,662)","148,511"
Gains and losses recognised directly in
other comprehensive income for the first,-,-,-,-,"17,575","17,575","(7,016)","10,560"
half of 2025
**Equity at 30 June 2025**,"**4,717,999**","**460,000**","**4,068,114**","**154,174**","**131,493**","**9,531,780**","**191,105**","**9,722,885**"
