MANAGEMENTDISCUSSION,,NOTESTOCONSOLIDATEDFINANCIALSTATEMENTS,,
Overview,6,Basis&Policies,,
Forward-Looking and Cautionary Statements,7,A,SignificantAccountingPolicies,48
ManagementDiscussionSnapshot,8,B,AccountingChanges,62
DescriptionofBusiness,11,Performance&Operations,,
YearinReview,16,C,RevenueRecognition,63
PriorYearinReview,28,D,Segments,65
OtherInformation,30,E,Acquisitions&Divestitures,69
LookingForward,30,F,Other(Income)andExpense,73
LiquidityandCapitalResources,31,G,Taxes,74
CriticalAccountingEstimates,34,H,EarningsPerShare,78
CurrencyRateFluctuations,36,BalanceSheet&Liquidity,,
MarketRisk,37,I,FinancialAssets&Liabilities,79
Financing,38,J,Inventory,80
,,K,FinancingReceivables,80
ReportofManagement,39,L,"Property, Plant & Equipment",83
ReportofIndependentRegistered,,M,Leases,83
PublicAccountingFirm,40,N,IntangibleAssetsIncludingGoodwill,86
,,O,Borrowings,87
CONSOLIDATEDFINANCIALSTATEMENTS,,P,OtherLiabilities,90
IncomeStatement,42,Q,Commitments&Contingencies,91
ComprehensiveIncome,43,R,EquityActivity,93
BalanceSheet,44,"Risk Management Compensation/Benefits & Other
,",,
CashFlows,45,S,DerivativeFinancialInstruments,95
Equity,46,T,Stock-Based Compensation,100
,,U,Retirement-Related Benefits,103
,,V,SubsequentEvents,116
,,PerformanceGraphs,,117
,,StockholderInformation,,118
,,BoardofDirectorsandSeniorLeadership,,119
