,,,,,Yr.-to-Yr.
ForyearendedDecember31:,,2025,,2024,PercentChange
Netincomeasreported(1),$,"10593
,",$,"6023
,","759%
."
"Income from discontinued operations, net of tax",,22,,8,"1625%
."
Incomefromcontinuingoperations(1),$,"10571
,",$,"6015
,","757%
."
Non-operating adjustments (net of tax),,,,,
Acquisition-related charges,,"1534
,",,"1456
,","54%
."
Non-operating retirement-related costs/(income) (1),,49,,"2668
,","(982)%
."
"U .S tax reform impacts
.",,"(1161)
,",,(455),"1552%
."
Operating (non-GAAP) earnings,$,"10993
,",$,"9684
,","135%
."
Diluted operating (non-GAAP) earnings per share,$,"1159
.",$,"1033
.","122%
."
