($inmillions),,,,,
,,,,,Yr.-to-Yr.
,,,,,Percent
FortheyearendedDecember31:,,2025,,2024,Change
Retirement-related plans–cost,,,,,
Servicecost,$,530,$,568,"(67)%
."
Multi-employer plans,,13,,13,"21
."
Costofdefinedcontributionplans,,461,,440,"47
."
Totaloperatingcosts/(income),$,"1004
,",$,"1021
,","(17)%
."
Interestcost,$,"1974
,",$,"2135
,","(76)%
."
Expectedreturnonplanassets,,"(2540)
,",,"(2800)
,","(93)
."
Recognizedactuariallosses,,624,,967,"(354)
."
Amortizationofpriorservicecosts/(credits),,(7),,(7),"(28)
."
Curtailments/settlements(1),,9,,"3159
,",NM
Othercosts,,5,,3,"421
."
Total non-operating costs/(income) (1),$,65,$,"3457
,",NM
Total retirement-related plans–cost (1),$,"1068
,",$,"4478
,","(761)%
."
