($inmillionsexceptpershareamounts),,,,,,,,,,
,,,Acquisition-,,Retirement-,,,"U .S Tax
.",,
,,,,Related,,Related,,Reform,,Operating
"For the year ended December 31 , 2025:",,GAAP,Adjustments,,Adjustments,,,Impacts(1),(non-GAAP),
Grossprofit,$,"39297
,",$,888,$,—,$,—,$,"40184
,"
Grossprofitmargin,,"582%
.",,1 .3 pts.,,— pts.,,— pts.,,"595%
."
SG&A,$,"20123
,",$,"(1417)
,",$,—,$,—,$,"18706
,"
R&D,,"8316
,",,(4),,—,,—,,"8312
,"
Other(income)andexpense,,(442),,(11),,(65),,—,,(518)
Totalexpenseandother(income),,"28968
,",,"(1432)
,",,(65),,—,,"27472
,"
Pre-tax income from continuing operations,,"10328
,",,"2320
,",,65,,—,,"12713
,"
Pre-tax margin from continuing operations,,"153%
.",,3 .4 pts.,,0 .1 pts.,,— pts.,,"188%
."
Provision for/(benefit from) income taxes (1) (2),$,(242),$,786,$,15,$,"1161
,",$,"1719
,"
Effectivetaxrate,,"(23)%
.",,6 .6 pts.,,0 .1 pts.,,9 .1 pts.,,"135%
."
Incomefromcontinuingoperations,$,"10571
,",$,"1534
,",$,49,$,"(1161)
,",$,"10993
,"
Incomemarginfromcontinuingoperations,,"157%
.",,2 .3 pts.,,0 .1 pts.,,(1 .7) pts.,,"163%
."
Dilutedearningspersharefromcontinuingoperations,$,"1114
.",$,"162
.",$,"005
.",$,"(122)
.",$,"1159
."
