($inbillions),,,,,,,,
FortheyearendedDecember31:,,2025,,,2024,,2023,
NetcashfromoperatingactivitiesperGAAP,$,,"132
.",$,"134
.",$,,"139
."
Less:changeinFinancingreceivables,,,"(32)
.",,"(04)
.",,,"12
."
"Net cash from operating activities, excluding Financing receivables",,,"164
.",,"139
.",,,"127
."
"Capital expenditures, net",,,"(16)
.",,"(11)
.",,,"(15)
."
Freecashflow,,,"147
.",,"127
.",,,"112
."
ChangeinFinancingreceivables,,,"(32)
.",,"(04)
.",,,"12
."
Acquisitions,,,"(83)
.",,"(33)
.",,,"(51)
."
Divestitures,,,"00
.",,"07
.",,,"00
."
Dividends,,,"(63)
.",,"(61)
.",,,"(60)
."
Changeintotaldebt,,,"29
.",,"(09)
.",,,"45
."
Other,,,"(07)
.",,"(10)
.",,,"(12)
."
"Effect of exchange rate changes on cash , cash equivalents and restricted",,,,,,,,
cash,,,"04
.",,"(04)
.",,,"00
."
"Change in cash cash equivalents, restricted cash and short-term
,",,,,,,,,
marketablesecurities,$,,"(03)
.",$,"13
.",$,,"46
."
