($inmillionsexceptpershareamounts),,,,,,,
FortheyearendedDecember31:,Notes,,2025,,2024,,2023
Revenue,,,,,,,
Services,,$,"30714
,",$,"29813
,",$,"30378
,"
Sales,,,"36085
,",,"32231
,",,"30745
,"
Financing,,,737,,709,,737
Totalrevenue,C,,"67535
,",,"62753
,",,"61860
,"
Cost,,,,,,,
Services,,,"20975
,",,"20529
,",,"21051
,"
Sales,,,"6861
,",,"6303
,",,"6127
,"
Financing,,,403,,369,,382
Totalcost,,,"28239
,",,"27201
,",,"27560
,"
Grossprofit,,,"39297
,",,"35551
,",,"34300
,"
Expenseandother(income),,,,,,,
"Selling general and administrative
,",,,"20123
,",,"19688
,",,"19003
,"
Researchanddevelopment,,,"8316
,",,"7479
,",,"6775
,"
Intellectualpropertyandcustomdevelopmentincome,,,(964),,(996),,(860)
Other(income)andexpense(1),F,,(442),,"1871
,",,(914)
Interestexpense,O&S,,"1935
,",,"1712
,",,"1607
,"
Totalexpenseandother(income),,,"28968
,",,"29754
,",,"25610
,"
Incomefromcontinuingoperationsbeforeincometaxes,,,"10328
,",,"5797
,",,"8690
,"
Provisionfor/(benefitfrom)incometaxes(1),G,,(242),,(218),,"1176
,"
Incomefromcontinuingoperations,,,"10571
,",,"6015
,",,"7514
,"
"Income/(loss) from discontinued operations, net of tax",,,22,,8,,(12)
Netincome(1),,$,"10593
,",$,"6023
,",$,"7502
,"
Earnings/(loss)pershareofcommonstock(1),,,,,,,
Assumingdilution,,,,,,,
Continuingoperations,H,$,"1114
.",$,"642
.",$,"815
."
Discontinuedoperations,H,,"002
.",,"001
.",,"(001)
."
Total,H,$,"1117
.",$,"643
.",$,"814
."
Basic,,,,,,,
Continuingoperations,H,$,"1134
.",$,"653
.",$,"825
."
Discontinuedoperations,H,,"002
.",,"001
.",,"(001)
."
Total,H,$,"1136
.",$,"653
.",$,"823
."
Weighted-average number of common shares outstanding,,,,,,,
Assumingdilution,,"948675228
, ,",,"937161224
, ,",,"922073828
, ,",
Basic,,"932293927
, ,",,"921767834
, ,",,"911210319
, ,",
