($inmillions),,,,,,
FortheyearendedDecember31:,Notes,2025,,2024,,2023
Netincome,,"$ 10593
,",$,"6023
,",$,"7502
,"
"Other comprehensive income/(loss) before tax
,",,,,,,
Foreigncurrencytranslationadjustments,R,(972),,301,,3
Net unrealized gains/(losses) on available-for-sale securities,R,(1),,2,,0
Unrealizedgains/(losses)oncashflowhedges,R,,,,,
Unrealizedgains/(losses)arisingduringtheperiod,,(66),,389,,207
Reclassificationof(gains)/lossestonetincome,,(449),,85,,(159)
Totalunrealizedgains/(losses)oncashflowhedges,,(514),,474,,47
Retirement-related benefit plans,R,,,,,
Priorservicecosts/(credits),,(469),,(56),,2
Netgains/(losses)arisingduringtheperiod,,392,,70,,"(3115)
,"
Curtailmentsandsettlements,,9,,"3159
,",,5
Amortizationofpriorservicecosts/(credits),,(7),,(7),,(9)
Amortizationofnet(gains)/losses,,623,,975,,515
Total retirement-related benefit plans,,548,,"4142
,",,"(2602)
,"
"Other comprehensive income/(loss) before tax
,",R,(939),,"4919
,",,"(2552)
,"
Incometax(expense)/benefitrelatedtoitemsofothercomprehensiveincome,R,494,,"(1426)
,",,531
"Other comprehensive income/(loss) net of tax
,",R,(445),,"3492
,",,"(2021)
,"
Totalcomprehensiveincome,,"$ 10148
,",$,"9516
,",$,"5481
,"
