($inmillions),,,,,,
FortheyearendedDecember31:,,2025,,2024,,2023
Software,,,,,,
Software,$,"26493
,",$,"24055
,",$,"22409
,"
Services,,"3444
,",,"3002
,",,"2562
,"
Systems,,25,,29,,40
Consulting,,,,,,
Services,$,"20801
,",$,"20277
,",$,"20515
,"
Software,,169,,324,,272
Systems,,85,,91,,98
Infrastructure,,,,,,
Servers,$,"5410
,",$,"3693
,",$,"4253
,"
Maintenance,,"3926
,",,"3951
,",,"4138
,"
Storage,,"2371
,",,"2360
,",,"2081
,"
Services,,"2216
,",,"2262
,",,"2463
,"
Software,,"1795
,",,"1753
,",,"1658
,"
Financing,,,,,,
Financing,$,705,$,681,$,680
Usedequipmentsales,,32,,32,,60
