,,2025,
FortheyearendedDecember31:,,Amount,Percentage
"U .S federal statutory tax rate
.",$,"2169
,",21%
"State and local income taxes, net of federal income tax effect (1)",,(130),(1)
Foreigntaxeffects,,,
Ireland,,,
Statutorytaxratedifference,,(310),(3)
Other,,70,1
Singapore,,,
Localtaxesataratedifferentthanthestatutoryrate,,(185),(2)
Other,,55,1
Brazil,,203,2
Otherforeignjurisdictions,,656,6
Effectofchangesintaxlawsorratesenactedinthecurrentperiod,,308,3
Effect of cross-border tax laws,,,
CurrentGILTI,,427,4
DeferredGILTI,,168,2
Foreigntaxcredits,,(285),(3)
Other,,(22),—
Taxcredits,,,
R&D,,(265),(3)
Changesinvaluationallowances,,(77),(1)
Non-taxable or non-deductible items,,,
Stock-based compensation,,(217),(2)
Other,,(83),(1)
Changesinunrecognizedtaxbenefits,,"(2754)
,",(27)
Otheradjustments,,33,—
Effectivetaxrate,$,(242),(2)%
