($inmillions),,,,,,,,,
,FairValue,,2025,,,,2024,,
AtDecember31:,HierarchyLevel,,Assets(5),Liabilities(6),,,Assets(5),Liabilities(6),
Cashequivalents(1),,,,,,,,,
"Time deposits, certificates of deposit and other (2)",2,$,"7072
,",,N/A,$,"6663
,",,N/A
Moneymarketfunds,1,,413,,N/A,,284,,N/A
Totalcashequivalents,,$,"7485
,",,N/A,$,"6948
,",,N/A
Debt securities–current (2) (3),2,,830,,N/A,,644,,N/A
Debt securities–noncurrent (2) (4),"23
,",,9,,N/A,,124,,N/A
Derivativesdesignatedashedginginstruments,,,,,,,,,
Interestratecontracts,2,,2,,171,,—,,362
Foreignexchangecontracts,2,,545,,325,,645,,294
Derivativesnotdesignatedashedginginstruments,,,,,,,,,
Foreignexchangecontracts,2,,12,,14,,22,,43
Equitycontracts,2,,34,,3,,4,,27
Total,,$,"8916
,",$,513,$,"8386
,",$,726
