($inmillions),,,
AtDecember31:,Maturities,2025,2024
"U .S dollar debt (weighted-average interest rate at December 31 2025): (1)
. ,",,,
"51%
.",2025,—,"1601
,"
"37%
.",2026,"5800
,","5800
,"
"33%
.",2027,"4119
,","4119
,"
"48%
.",2028,"2319
,","1313
,"
"36%
.",2029,"3757
,","3750
,"
"32%
.",2030,"2355
,","1350
,"
"48%
.",2031,500,500
"46%
.",2032,"2700
,","1850
,"
"48%
.",2033,750,750
"49%
.",2034,"1000
,","1000
,"
"52%
.",2035,900,—
"80%
.",2038,83,83
"45%
.",2039,"2745
,","2745
,"
"29%
.",2040,650,650
"40%
.",2042,"1107
,","1107
,"
"53%
.",2044,"1000
,","1000
,"
"70%
.",2045,27,27
"47%
.",2046,650,650
"43%
.",2049,"3000
,","3000
,"
"30%
.",2050,750,750
"42%
.",2052,"1400
,","1400
,"
"51%
.",2053,650,650
"53%
.",2054,"1400
,","1400
,"
"57%
.",2055,"1000
,",—
"71%
.",2096,316,316
,,"$ 38979
,","$ 35813
,"
"Euro debt (weighted-average interest rate at December 31 2025): (1)
,",,,
"16%
.",2025,—,"3106
,"
"23%
.",2027,"2349
,","2071
,"
"07%
.",2028,"2114
,","1863
,"
"15%
.",2029,"1174
,","1035
,"
"17%
.",2030,"2055
,","1035
,"
"27%
.",2031,"2936
,","2588
,"
"07%
.",2032,"1879
,","1656
,"
"32%
.",2033,"1292
,",—
"13%
.",2034,"1174
,","1035
,"
"38%
.",2035,"1174
,","1035
,"
"35%
.",2037,"1057
,",—
"12%
.",2040,998,880
"40%
.",2043,"1174
,","1035
,"
"38%
.",2045,881,—
,,"$ 20258
,","$ 17340
,"
"Other currencies (weighted-average interest rate at December 31 2025): (1)
,",,,
Pound sterling (4 .9%),2038,"1009
,",939
Japanese yen (1 .0%),2026–2028,811,808
Other (13 .8%),2026–2027,78,212
,,"$ 61134
,","$ 55111
,"
"Finance lease obligations (5 .1% weighted-average interest rate at December 31 2025)
,",2026–2035,"1153
,","1000
,"
,,"$ 62286
,","$ 56112
,"
Less:netunamortizeddiscount,,806,824
Less:netunamortizeddebtissuancecosts,,185,168
Add:fairvalueadjustment(2),,(36),(176)
,,"$ 61259
,","$ 54943
,"
Less:currentmaturities,,"6424
,","5059
,"
Total,,"$ 54836
,","$ 49884
,"
