($inmillions),,,,,,
,,BeforeTax,Tax,(Expense)/,,NetofTax
"For the year ended December 31 , 2024:",,Amount,,Benefit,,Amount
Othercomprehensiveincome/(loss),,,,,,
Foreigncurrencytranslationadjustments,$,301,$,(324),$,(23)
Net unrealized gains/(losses) on available-for-sale securities,$,2,$,0,$,1
Unrealizedgains/(losses)oncashflowhedges,,,,,,
Unrealizedgains/(losses)arisingduringtheperiod,$,389,$,(113),$,276
Reclassificationof(gains)/lossesto:,,,,,,
Costofservices,,(22),,6,,(16)
Costofsales,,(40),,13,,(27)
Costoffinancing,,6,,(2),,5
SG&Aexpense,,(16),,5,,(11)
Other(income)andexpense,,125,,(32),,94
Interestexpense,,31,,(8),,24
Totalunrealizedgains/(losses)oncashflowhedges,$,474,$,(130),$,343
Retirement-related benefit plans (1),,,,,,
Priorservicecosts/(credits),$,(56),$,11,$,(45)
Netgains/(losses)arisingduringtheperiod,,70,,(65),,6
Curtailmentsandsettlements,,"3159
,",,(719),,"2441
,"
Amortizationofpriorservicecosts/(credits),,(7),,2,,(5)
Amortizationofnet(gains)/losses,,975,,(201),,775
Total retirement-related benefit plans,$,"4142
,",$,(971),$,"3171
,"
Othercomprehensiveincome/(loss),$,"4919
,",$,"(1426)
,",$,"3492
,"
