,,BeforeTax,Tax,(Expense)/,,NetofTax
"For the year ended December 31 , 2023:",,Amount,,Benefit,,Amount
Othercomprehensiveincome/(loss),,,,,,
Foreigncurrencytranslationadjustments,$,3,$,100,$,103
Net unrealized gains/(losses) on available-for-sale securities,$,0,$,0,$,0
Unrealizedgains/(losses)oncashflowhedges,,,,,,
Unrealizedgains/(losses)arisingduringtheperiod,$,207,$,(63),$,144
Reclassificationof(gains)/lossesto:,,,,,,
Costofservices,,5,,(1),,5
Costofsales,,(22),,8,,(14)
Costoffinancing,,14,,(3),,10
SG&Aexpense,,(12),,4,,(8)
Other(income)andexpense,,(209),,53,,(157)
Interestexpense,,66,,(17),,49
Totalunrealizedgains/(losses)oncashflowhedges,$,47,$,(19),$,28
Retirement-related benefit plans (1),,,,,,
Priorservicecosts/(credits),$,2,$,0,$,2
Netgains/(losses)arisingduringtheperiod,,"(3115)
,",,536,,"(2579)
,"
Curtailmentsandsettlements,,5,,(1),,4
Amortizationofpriorservicecosts/(credits),,(9),,3,,(6)
Amortizationofnet(gains)/losses,,515,,(88),,427
Total retirement-related benefit plans,$,"(2602)
,",$,450,$,"(2152)
,"
Othercomprehensiveincome/(loss),$,"(2552)
,",$,531,$,"(2021)
,"
