,,,NetUnrealized,,,,,NetChange,,
,,Foreign,Gains/(Losses),,Net,Unrealized,,Retirement-,Accumulated,
,,Currency,on Available-,,Gains/(Losses),,,Related,,Other
,,Translation,,For-Sale,on,CashFlow,,Benefit,Comprehensive,
,Adjustments(1),,,Securities,,Hedges,,Plans,Income/(Loss),
"December 31 2022
,",$,"(3591)
,",$,(1),$,(135),$,"(13013)
,",$,"(16740)
,"
"Othercomprehensiveincomebefore
recla ssifications",,103,,0,,144,,"(2577)
,",,"(2331)
,"
"Amountreclassifiedfromaccumulated
otherc omprehensi veinc ome",,—,,—,,(115),,425,,310
Totalchangefortheperiod,,103,,0,,28,,"(2152)
,",,"(2021)
,"
"December 31 2023
,",,"(3488)
,",,(1),,(106),,"(15165)
,",,"(18761)
,"
"Othercomprehensiveincomebefore
recla ssifications",,(23),,1,,276,,(39),,215
Amountreclassifiedfromaccumulated,,,,,,,,,,
othercomprehensiveincome(2),,—,,—,,67,,"3210
,",,"3278
,"
Totalchangefortheperiod,,(23),,1,,343,,"3171
,",,"3492
,"
"December 31 2024
,",,"(3512)
,",,0,,237,,"(11994)
,",,"(15269)
,"
"Othercomprehensiveincomebefore
recla ssifications",,(445),,(1),,(58),,(127),,(630)
"Amountreclassifiedfromaccumulated
otherc omprehensi veinc ome",,—,,—,,(336),,521,,185
Totalchangefortheperiod,,(445),,(1),,(394),,394,,(445)
"December 31 2025
,",$,"(3956)
,",$,0,$,(157),$,"(11600)
,",$,"(15713)
,"
