Interestratecontracts,"$
—","$
—","$
—",Costoffinancing,$ 2,$ 2,$ 3,N/A,N/A
,,,,Interestexpense,11,13,15,N/A,N/A
"Foreignexchange
contracts",,,,,,,,,
"Amountincludedin
theass essment of
effe ctiveness",175,405,213,Costofservices,27,(22),5,N/A,N/A
,,,,Costofsales,15,(40),(22),N/A,N/A
,,,,Costoffinancing,2,4,11,N/A,N/A
,,,,SG&Aexpense,6,(16),(12),N/A,N/A
,,,,"Other(income)
and expense",(633),48,(239),N/A,N/A
,,,,Interestexpense,12,19,51,N/A,N/A
"Amountexcludedfrom
theass essment of
effe ctiveness",(240),(16),(6),"Other(income)
and expense",N/A N/A N/A,,,108,77
"Instrumentsinnet
investment he dge s(2)",,,,,,,,,
"Foreignexchange
contracts",,,,,,,,,
"Amountincludedin
theass essment of
effe ctiveness","(2120)
,","1354
,",(397),,,,,,
"Amountexcludedfrom
theass essment of
effe ctiveness",,,,Costoffinancing,N/A,N/A,N/A,(18),(18)
,,,,Interestexpense,,,,,
