,,RSUs,,,PSUs,
,Weighted-Average,,,Weighted-Average,,
,,GrantPrice,NumberofUnits,,GrantPrice,NumberofUnits(1)
"Balance at January 1 2023
,",$,115,"21052914
, ,",$,117,"3566078
, ,"
Awardsgranted,,118,"10915958
, ,",,117,"1295937
, ,"
Awardsreleased,,114,"(7383980)
, ,",,113,"(840111)
,"
Awardscanceled/forfeited/performanceadjusted(2),,115,"(1527249)
, ,",,114,"(548865)
,"
"Balance at December 31 2023
,",$,116,"23057643
, ,",$,118,"3473039
, ,"
Awardsgranted,,176,"8220339
, ,",,165,"1110929
, ,"
Awardsreleased,,117,"(8532751)
, ,",,126,"(963249)
,"
Awardscanceled/forfeited/performanceadjusted(2),,123,"(1681686)
, ,",,131,"(319169)
,"
"Balance at December 31 2024
,",$,139,"21063545
, ,",$,130,"3301550
, ,"
Awardsgranted,,257,"6073739
, ,",,271,"884271
,"
Awardsreleased,,131,"(8814716)
, ,",,112,"(1049685)
, ,"
Awardscanceled/forfeited/performanceadjusted(2),,154,"(1446258)
, ,",,152,"(225788)
,"
"Balance at December 31 2025
,",$,185,"16876310
, ,",$,178,"2910348
, ,"
