,Weighted-Average,,NumberofShares
,,ExercisePrice,UnderOption
"Balance at January 1 2023
,",$,128,"6274525
, ,"
Optionsgranted,,133,"4574756
, ,"
Optionsexercised,,125,"(408045)
,"
Optionsforfeited/cancelled/expired,,129,"(584674)
,"
"Balance at December 31 2023
,",$,130,"9856562
, ,"
Optionsgranted,,181,"3156770
, ,"
Optionsexercised,,133,"(2384273)
, ,"
Optionsforfeited/cancelled/expired,,143,"(623663)
,"
"Balance at December 31 2024
,",$,145,"10005396
, ,"
Optionsgranted,,262,"1949882
, ,"
Optionsexercised,,137,"(1698270)
, ,"
Optionsforfeited/cancelled/expired,,166,"(598034)
,"
"Balance at December 31 2025
,",$,168,"9658974
, ,"
"Vested and exercisable at December 31 2025
,",$,137,"3111996
, ,"
