($inmillions),,,,,,,,
,Benefit,Obligations,FairValueofPlanAssets,,,,Funded,Status(1)
AtDecember31:,2025,2024,,2025,,2024,2025,2024
"U .S Plans
.",,,,,,,,
Overfundedplans,,,,,,,,
QualifiedPPP,"$13207
,","$12941
,",$,"18073
,",$,"17591
,","$ 4866
,","$ 4651
,"
Underfundedplans,,,,,,,,
Nonqualifieddefinedbenefitpensionplans(2),"1253
,","1278
,",,—,,—,"(1253)
,","(1278)
,"
Nonpensionpostretirementbenefitplan,"2224
,","2257
,",,5,,6,"(2219)
,","(2251)
,"
"Total underfunded U .S plans
.","$ 3477
,","$ 3535
,",$,5,$,6,"$ (3472)
,","$ (3529)
,"
"Non-U .S Plans
.",,,,,,,,
Overfundedplans,,,,,,,,
Qualified defined benefit pension plans (3),"$14632
,","$13568
,",$,"17310
,",$,"16410
,","$ 2679
,","$ 2842
,"
"Total overfunded non-U .S plans
.","$14632
,","$13568
,",$,"17310
,",$,"16410
,","$ 2679
,","$ 2842
,"
Underfundedplans,,,,,,,,
Qualifieddefinedbenefitpensionplans(3),"$10697
,","$10482
,",$,"9423
,",$,"8795
,","$ (1274)
,","$ (1688)
,"
Nonqualifieddefinedbenefitpensionplans(3),"4544
,","4440
,",,—,,—,"(4544)
,","(4440)
,"
Nonpensionpostretirementbenefitplans,547,507,,9,,14,(538),(493)
"Total underfunded non-U .S plans
.","$15788
,","$15429
,",$,"9432
,",$,"8809
,","$ (6356)
,","$ (6620)
,"
Totaloverfundedplans,"$27839
,","$26509
,",$,"35383
,",$,"34001
,","$ 7544
,","$ 7492
,"
Totalunderfundedplans,"$19264
,","$18964
,",$,"9437
,",$,"8815
,","$ (9828)
,","$(10149)
,"
