($inmillions),,,,,,,,,,,,
,,,,,DefinedBenefit,,PensionPlans,,,,,
,,,"U .S Plans
.",,,,,,"Non-U .S Plans
.",,,
FortheyearendedDecember31:,,2025,,2024,,2023,,2025,,2024,,2023
Servicecost(1),$,352,$,394,$,—,$,174,$,170,$,177
Interestcost(2),,748,,911,,"1090
,",,"1070
,",,"1077
,",,"1170
,"
Expectedreturnonplanassets(2),,"(1073)
,",,"(1253)
,",,"(1529)
,",,"(1467)
,",,"(1546)
,",,"(1440)
,"
Amortizationofpriorservicecosts/(credits)(2),,—,,—,,0,,22,,22,,20
Recognizedactuariallosses(2),,280,,452,,109,,343,,516,,400
Curtailments and settlements (2) (3),,—,,"2761
,",,—,,9,,398,,7
Multi-employer plans,,—,,—,,—,,13,,13,,13
Other costs/(credits) (2),,—,,—,,—,,5,,3,,13
Totalnetperiodic(income)/cost(3),$,307,$,"3265
,",$,(329),$,170,$,652,$,359
