($inmillions),,,,,,,,,,,,
,,DefinedBenefit,PensionPlans,,,Nonpension,,PostretirementBenefit,,,Plans,
,"U .S Plans
.",,"Non-U .S
.",Plans,,"US
. .",Plan,,,"Non-U .S
.",Plans,
,2025,2024,2025,2024,,2025,,2024,,2025,,2024
Changeinbenefitobligation,,,,,,,,,,,,
BenefitobligationatJanuary1,"$14219
,","$21235
,","$28490
,","$33479
,",$,"2257
,",$,"2233
,",$,507,$,586
Servicecost,352,394,174,170,,2,,2,,2,,2
Interestcost,748,911,"1070
,","1077
,",,114,,106,,42,,41
Planparticipants'contributions,—,—,19,17,,33,,33,,—,,—
"Acquisitions/divestitures, net",—,—,3,7,,—,,—,,—,,—
Actuariallosses/(gains),316,(589),(644),"(1076)
,",,61,,116,,1,,0
Benefitspaidfromtrust,(749),"(1432)
,","(1656)
,","(1635)
,",,(239),,(233),,(8),,(4)
Directbenefitpayments,(120),(122),(442),(422),,(3),,(2),,(34),,(32)
Foreignexchangeimpact,—,—,"3031
,","(1850)
,",,—,,—,,36,,(85)
Amendments/curtailments/,,,,,,,,,,,,
settlements/other(1),(306),"(6178)
,",(173),"(1277)
,",,0,,—,,0,,(1)
BenefitobligationatDecember31,"$14460
,","$14219
,","$29872
,","$28490
,",$,"2224
,",$,"2257
,",$,547,$,507
Changeinplanassets,,,,,,,,,,,,
FairvalueofplanassetsatJanuary1,"$17591
,","$24437
,","$25205
,","$29059
,",$,6,$,10,$,14,$,23
Actualreturnonplanassets,"1536
,",764,645,499,,1,,—,,1,,1
Employercontributions,—,—,40,67,,204,,194,,—,,—
"Acquisitions/divestitures, net",—,—,2,4,,—,,—,,—,,—
Planparticipants'contributions,—,—,19,17,,33,,33,,—,,—
Benefitspaidfromtrust,(749),"(1432)
,","(1656)
,","(1635)
,",,(239),,(233),,(8),,(4)
Foreignexchangeimpact,—,—,"2654
,","(1530)
,",,—,,—,,2,,(5)
Amendments/curtailments/,,,,,,,,,,,,
settlements/other(1),(306),"(6178)
,",(175),"(1277)
,",,—,,2,,0,,0
Fairvalueofplanassetsat,,,,,,,,,,,,
December31,"$18073
,","$17591
,","$26733
,","$25205
,",$,5,$,6,$,9,$,14
FundedstatusatDecember31,"$ 3613
,","$ 3373
,","$ (3139)
,","$(3286)
,","$(2219)
,",,"$(2251)
,",,$,(538),$,(493)
Accumulatedbenefitobligation(2),"$14460
,","$14219
,","$29540
,","$28187
,",,N/A,,N/A,,N/A,,N/A
