,,NonpensionPostretirementBenefitPlans,,,,
,,"U .S Plan
.",,,"Non-U .S Plans
.",
,2025,2024,2023,2025,2024,2023
Weighted-average assumptions used to measure net periodic,,,,,,
costfortheyearendedDecember31,,,,,,
Discountrate,"530%
.","500%
.","530%
.","821%
.","766%
.","725%
."
Expected long-term returns on plan assets,N/A,N/A,N/A,"825%
.","812%
.","805%
."
Interestcreditingrate,"430%
.","380%
.","440%
.",N/A,N/A,N/A
Weighted-average assumptions used to measure benefit,,,,,,
obligationsatDecember31,,,,,,
Discountrate,"480%
.","530%
.","500%
.","901%
.","821%
.","766%
."
Interestcreditingrate,"410%
.","430%
.","380%
.",N/A,N/A,N/A
