($inmillions),,,,,,,,,,,,,,,,
,,,,"US
. .",Plan,,,,,,,"Non-U .S
.",Plans,,,
,Level1,,Level2,,Level3,,,Total,Level1,,Level2,,Level,3,,Total
Equity,,,,,,,,,,,,,,,,
Equitysecurities(1),$,738,$,—,$,3,$,741,$,44,$,—,$,—,$,44
Equitymutualfunds(2),,349,,—,,—,,349,,—,,—,,—,,—
Fixedincome,,,,,,,,,,,,,,,,
Governmentandrelated(3),,—,,"5168
,",,—,,"5168
,",,93,,"6142
,",,—,,"6235
,"
Corporatebonds,,—,,"3839
,",,157,,"3997
,",,—,,"3084
,",,—,,"3084
,"
Mortgage and asset-backed securities,,—,,127,,—,,127,,—,,5,,—,,5
Fixedincomemutualfunds(4),,268,,—,,—,,268,,—,,—,,—,,—
Insurancecontracts(5),,—,,—,,—,,—,,—,,"4399
,",,—,,"4399
,"
Cash and short-term investments (6),,"1733
,",,(171),,—,,"1561
,",,204,,52,,—,,256
Realestate,,—,,—,,—,,—,,—,,—,,—,,—
Derivatives(7),,0,,(1),,—,,(1),,38,,(2),,—,,36
Othermutualfunds(8),,—,,—,,—,,—,,22,,—,,—,,22
Subtotal,,"3088
,",,"8962
,",,160,"12210
,",,,401,"13680
,",,,—,"14081
,",
Investmentsmeasuredatnetasset,,,,,,,,,,,,,,,,
valueusingtheNAVpractical,,,,,,,,,,,,,,,,
expedient(9),,—,,—,,—,,"5863
,",,—,,—,,—,"12726
,",
Other(10),,—,,—,,—,,—,,—,,—,,—,,(74)
Fairvalueofplanassets,$,"3088
,",$,"8962
,",$,160,"$18073
,",,$,401,"$13680
,",,$,—,"$26733
,",
