($ in millions)
**Before Tax**,**Tax**,**(Expense)/**,,,**Net of Tax**
"**For the year ended December 31, 2024:**",,**Amount**,,**Benefit**,,,**Amount**
**Other comprehensive income/(loss)**
**Foreign currency translation adjustments**,$,301,$,(324),,$,(23)
**Net unrealizedgains/(losses) on available-for-sale securities**,$,2,$,,0,$,1
**Unrealizedgains/(losses) on cash flow hedges**
Unrealizedgains/(losses) arisingduringtheperiod,$,389,$,(113),,$,276
Reclassification of (gains)/losses to:
Cost of services,,(22),,,6,,(16)
Cost of sales,,(40),,,13,,(27)
Cost of financing,,6,,,(2),,5
SG&A expense,,(16),,,5,,(11)
Other (income) and expense,,125,,,(32),,94
Interest expense,,31,,,(8),,24
**Total unrealizedgains/(losses) on cash flow hedges**,$,474,$,(130),,$,343
**Retirement-related benefitplans (1)**
Prior service costs/(credits),$,(56),$,,11,$,(45)
Netgains/(losses) arisingduringtheperiod,,70,,,(65),,6
Curtailments and settlements,,"3,159",,(719),,,"2,441"
Amortization ofprior service costs/(credits),,(7),,,2,,(5)
Amortization of net (gains)/losses,,975,,(201),,,775
**Total retirement-related benefitplans**,$,"4,142",$,(971),,$,"3,171"
**Other comprehensive income/(loss)**,$,"4,919",$,"(1,426)",,$,"3,492"
