**RSUs**<br>**PSUs**<br>**Weighted-Average**<br>**Grant Price**<br>**Number of Units**<br>**Weighted-Average**<br>**Grant Price**<br>**Number of Units(1)**
"Balance at January1, 2023","$ 115<br>21,052,914<br>$ 117<br>3,566,078"
Awardsgranted,"118<br>10,915,958<br>117<br>1,295,937"
Awards released,"114<br>(7,383,980)<br>113<br>(840,111)"
Awards canceled/forfeited/performance adjusted(2),"115<br>(1,527,249)<br>114<br>(548,865)"
"Balance at December 31, 2023","$ 116<br>23,057,643<br>$ 118<br>3,473,039"
Awardsgranted,"176<br>8,220,339<br>165<br>1,110,929"
Awards released,"117<br>(8,532,751)<br>126<br>(963,249)"
Awards canceled/forfeited/performance adjusted(2),"123<br>(1,681,686)<br>131<br>(319,169)"
"Balance at December 31, 2024","$ 139<br>21,063,545<br>$ 130<br>3,301,550"
Awardsgranted,"257<br>6,073,739<br>271<br>884,271"
Awards released,"131<br>(8,814,716)<br>112<br>(1,049,685)"
Awards canceled/forfeited/performance adjusted(2),"154<br>(1,446,258)<br>152<br>(225,788)"
"Balance at December 31, 2025","$ 185<br>16,876,310<br>$ 178<br>2,910,348"
