($ in millions)
**At December 31:**,**Benefit Obligations**<br>**2025**<br>**2024**,**Fair Value of Plan Assets**<br>**Funded Status(1)**<br>**2025**<br>**2024**<br>**2025**<br>**2024**
**U.S. Plans**
Overfundedplans
Qualified PPP,"$ 13,207<br>$ 12,941","$ 18,073<br>$ 17,591<br>$ 4,866<br>$ 4,651"
Underfundedplans
Nonqualified defined benefitpensionplans(2),"1,253<br>1,278","—<br>—<br>(1,253)<br>(1,278)"
Nonpension postretirement benefit plan,"2,224<br>2,257","5<br>6<br>(2,219)<br>(2,251)"
Total underfunded U.S.plans,"$ 3,477<br>$ 3,535","$ 5<br>$ 6<br>$ (3,472)<br>$ (3,529)"
**Non-U.S. Plans**
Overfundedplans
Qualified defined benefitpensionplans(3),"$ 14,632<br>$ 13,568","$ 17,310<br>$ 16,410<br>$ 2,679<br>$ 2,842"
Total overfunded non-U.S.plans,"$ 14,632<br>$ 13,568","$ 17,310<br>$ 16,410<br>$ 2,679<br>$ 2,842"
Underfundedplans
Qualified defined benefitpensionplans(3),"$ 10,697<br>$ 10,482","$ 9,423<br>$ 8,795<br>$ (1,274)<br>$ (1,688)"
Nonqualified defined benefitpensionplans(3),"4,544<br>4,440","—<br>—<br>(4,544)<br>(4,440)"
Nonpension postretirement benefit plans,547<br>507,9<br>14<br>(538)<br>(493)
Total underfunded non-U.S.plans,"$ 15,788<br>$ 15,429","$ 9,432<br>$ 8,809<br>$ (6,356)<br>$ (6,620)"
**Total overfundedplans**,"$ 27,839<br>$ 26,509","$ 35,383<br>$ 34,001<br>$ 7,544<br>$ 7,492"
**Total underfundedplans**,"$ 19,264<br>$ 18,964","$ 9,437<br>$ 8,815<br>$ (9,828)<br>$ (10,149)"
