($ in millions)
**Defined Benefi**,**t Pension Plans**,**Nonpension Postretirement Benefit Plans**
**U.S. Plans**,**Non-U.S. Plans**,**U.S. Plan**<br>**Non-U.S. Plans**<br>**2025**<br>**2024**<br>**2025**<br>**2024**
**2025**<br>**2024**,**2025**<br>**2024**
Net loss at January1,"$ 6,153<br>$ 9,467","$ 11,950<br>$ 12,937",$ 188<br>$ 73<br>$ 125<br>$ 123
Currentperiod loss/(gain),(147)<br>(101),(291)<br>(73),60<br>115<br>1<br>0
Curtailments and settlements(1),"—<br>(2,761)",(9)<br>(398),—<br>—<br>0<br>0
Amortization of net loss included in net<br>periodic (income)/cost,(280)<br>(452),(343)<br>(516),—<br>—<br>(1)<br>1
**Net loss at December 31**,"$ 5,726<br>$ 6,153","$ 11,307<br>$ 11,950",$ 249<br>$ 188<br>$ 125<br>$ 125
Prior service costs/(credits) at January1,$ 0<br>$ 0,$ 342<br>$ 309,$ (321)$ (350)$ (1)$ (1)
Currentperiodprior service costs/(credits),0<br>—,469<br>56,0<br>—<br>0<br>0
"Curtailments, settlements and other",—<br>—,—<br>—,—<br>—<br>—<br>—
Amortization of prior service (costs)/credits<br>included in netperiodic (income)/cost,—<br>0,(22)<br>(22),29<br>29<br>0<br>0
**Prior service costs/(credits) at December 31**,$ 0<br>$ 0,$ 789<br>$ 342,$ (292)$ (321)$ (1)$ (1)
Transition (assets)/liabilities at January1,$ —<br>$ —,$ —<br>$ 0,$ —<br>$ —<br>$ 0<br>$ 0
**Transition (assets)/liabilities at December 31**,$ —<br>$ —,$ —<br>$ 0,$ —<br>$ —<br>$ 0<br>$ 0
**Total loss recognized in accumulated other**<br>**comprehensive income/(loss)(2)**,"$ 5,726<br>$ 6,153","$ 12,096<br>$ 12,293",$ (43)$ (133)$ 124<br>$ 124
