($ in millions)
**U.S. Plan**<br>**Non-U.S. Plans**<br>**Level 1**<br>**Level 2**<br>**Level 3**<br>**Total**<br>**Level 1**<br>**Level 2**<br>**Level 3**<br>**Total**
Equity
Equitysecurities(1),$ 655<br>$ —<br>$ 7<br>$ 661<br>$ 67<br>$ 1<br>$ —<br>$ 68
Equitymutual funds(2),183<br>—<br>—<br>183<br>—<br>—<br>—<br>—
Fixed income
Government and related(3),"—<br>7,010<br>—<br>7,010<br>110<br>6,807<br>—<br>6,917"
Corporate bonds,"—<br>3,663<br>186<br>3,849<br>7<br>2,550<br>—<br>2,557"
Mortgage and asset-backed securities,—<br>141<br>—<br>141<br>—<br>4<br>—<br>4
Fixed income mutual funds(4),240<br>—<br>—<br>240<br>—<br>—<br>—<br>—
Insurance contracts(5),"—<br>—<br>—<br>—<br>—<br>3,332<br>—<br>3,332"
Cash and short-term investments(6),670<br>(24)<br>—<br>646<br>170<br>277<br>—<br>447
Real estate,—<br>—<br>—<br>—<br>—<br>—<br>3<br>3
Derivatives(7),—<br>8<br>—<br>8<br>39<br>58<br>—<br>97
Other mutual funds(8),—<br>—<br>—<br>—<br>20<br>—<br>—<br>20
Subtotal,"1,747<br>10,799<br>193<br>12,739<br>413<br>13,029<br>3<br>13,444"
Investments measured at net asset<br>value using the NAV practical<br>expedient(9),"—<br>—<br>—<br>4,852<br>—<br>—<br>—<br>11,807"
Other(10),—<br>—<br>—<br>0<br>—<br>—<br>—<br>(47)
**Fair value ofplan assets**,"$ 1,747<br>$ 10,799<br>$ 193<br>$ 17,591<br>$ 413<br>$ 13,029<br>$ 3<br>$ 25,205"
