($ in millions)
**Yr.-to-Yr.**
**Percent**
**For the year ended December 31:**,,**2025**,,**2024**,**Change**
**Retirement-relatedplans–cost**
Service cost,$,530,$,568,(6.7) %
Multi-employerplans,,13,,13,2.1
Cost of defined contributionplans,,461,,440,4.7
**Total operating costs/(income)**,$,"1,004",$,"1,021",(1.7) %
Interest cost,$,"1,974",$,"2,135",(7.6) %
Expected return onplan assets,,"(2,540)",,"(2,800)",(9.3)
Recognized actuarial losses,,624,,967,(35.4)
Amortization ofprior service costs/(credits),,(7),,(7),(2.8)
Curtailments/settlements(1),,9,,"3,159",NM
Other costs,,5,,3,42.1
**Total non-operating costs/(income) (1)**,$,65,$,"3,457",NM
**Total retirement-relatedplans–cost(1)**,$,"1,068",$,"4,478",(76.1) %
