($ in millions)
**For the year ended December 31:**,,**2025**,,**2024(1)**,,**2023(1)**
Hybrid Cloud,$,"7,327",$,"6,490",$,"5,827"
Automation,,"7,733",,"6,558",,"6,008"
Data,,"6,299",,"5,629",,"5,461"
Transaction Processing,,"8,603",,"8,408",,"7,714"
**Total Software**,$,"29,962",$,"27,085",$,"25,011"
Strategyand Technology,$,"11,537",$,"11,488",$,"11,430"
Intelligent Operations,,"9,518",,"9,204",,"9,455"
**Total Consulting**,$,"21,055",$,"20,692",$,"20,884"
Hybrid Infrastructure,$,"10,618",$,"8,913",$,"9,215"
Infrastructure Support,,"5,100",,"5,107",,"5,377"
**Total Infrastructure**,$,"15,718",$,"14,020",$,"14,593"
**Financing (2)**,$,737,$,713,$,741
**Other (3)**,$,63,$,243,$,632
**Total Revenue**,$,"67,535",$,"62,753",$,"61,860"
