(in $ millions)
**For the year ended December 31:**,**2025**
**Amount**<br>**Percentage**
U.S. federal statutorytax rate,"$ 2,169<br>21 %"
"State and local income taxes, net of federal income tax effect(1)",(130)<br>(1)
Foreign tax effects
Ireland
Statutorytax rate difference,(310)<br>(3)
Other,70<br>1
Singapore
Local taxes at a rate different than the statutoryrate,(185)<br>(2)
Other,55<br>1
Brazil,203<br>2
Other foreignjurisdictions,656<br>6
Effect of changes in tax laws or rates enacted in the currentperiod,308<br>3
Effect of cross-border tax laws
Current GILTI,427<br>4
Deferred GILTI,168<br>2
Foreign tax credits,(285)<br>(3)
Other,(22)<br>—
Tax credits
R&D,(265)<br>(3)
Changes in valuation allowances,(77)<br>(1)
Non-taxable or non-deductible items
Stock-based compensation,(217)<br>(2)
Other,(83)<br>(1)
Changes in unrecognized tax benefits,"(2,754)<br>(27)"
Other adjustments,33<br>—
**Effective tax rate**,$ (242)<br>(2) %
